Country	Country Code	Indicator Name	Indicator Code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
Bahrain	BHR	GDP per capita (current US$)	NY.GDP.PCAP.CD	8528,983334	9055,679936	9082,758533	9698,189063	10130,50523	10376,9717	10544,70357	10672,16601	10076,22062	10401,54581	13636,39623	12868,26916	13049,80322	14222,0368	15846,54414	17959,25544	19307,60966	20976,54353	23066,53376	19355,90467	20722,13729	22514,23795	23654,35139	24744,29696	24989,40012	22688,9444	22619,11667	23709,43047	2399	23503,97713	
Belarus	BLR	GDP per capita (current US$)	NY.GDP.PCAP.CD	2124,840514	1765,744556	1667,681777	1590,095882	1460,059076	1370,676559	1452,445488	1396,501786	1511,770053	1210,61172	1276,288034	1244,373185	1479,314583	1819,766059	2378,623286	3125,810535	3847,434124	4735,657608	6377,369732	5351,355382	6029,3968	6519,230195	6940,159254	7978,872615	8318,51269	5949,106307	5022,626643	5761,74712	6330	6663,295293	
Bolivia	BOL	GDP per capita (current US$)	NY.GDP.PCAP.CD	709,0596725	762,0780331	788,1519898	784,1917393	801,0460297	880,992224	950,8565084	998,5153242	1049,499374	1003,392231	997,5824599	948,8712066	904,2266273	907,5371101	967,406992	1034,31124	1218,874459	1372,628225	1715,208922	1754,211061	1955,461557	2346,33717	2609,880819	2908,200085	3081,878834	3035,972215	3076,658949	3351,12404	3548,59	3552,068762	
Brazil	BRA	GDP per capita (current US$)	NY.GDP.PCAP.CD	3100,280468	3975,390089	2596,919876	2791,209124	3500,61149	4748,215529	5166,163745	5282,008828	5087,152221	3478,37273	3749,75325	3156,798718	2829,283192	3070,910491	3637,462389	4790,437088	5886,463588	7348,030794	8831,023117	8597,915352	11286,24302	13245,6125	12370,0242	12300,32488	12112,58821	8814,000987	8710,09669	9925,386238	9001,23	8717,186278	
Barbados	BRB	GDP per capita (current US$)	NY.GDP.PCAP.CD	7711,206799	7714,94894	7444,291442	7819,421834	8121,561919	8335,899293	8850,98017	9315,828618	10459,3648	10914,44367	11268,25406	11209,17431	11361,43367	11699,45576	12512,53251	13822,59168	15199,45797	16770,72121	17092,58214	15885,57971	16056,37098	16458,35321	16249,55939	16451,16358	16489,07224	16525,07325	16900,16655	17391,42587	17745,1	18148,24493	
Botswana	BWA	GDP per capita (current US$)	NY.GDP.PCAP.CD	2945,83204	2972,726711	3040,960404	2973,380401	2970,122568	3219,912051	3221,67621	3258,980312	3039,970731	3405,812598	3522,308678	3278,00825	3190,615453	4330,9449	5073,53765	5520,12472	5516,03921	5832,733942	5713,534983	5255,768461	6434,815657	7617,325094	7070,37655	7224,965172	7780,638385	6799,875234	7243,852997	7893,210108	8279,6	7961,33814	
Central African Republic	CAF	GDP per capita (current US$)	NY.GDP.PCAP.CD	513,305285	478,5029439	477,1223243	419,802566	271,5056708	346,1088406	304,6312597	276,4212702	278,3313409	280,908819	251,2068774	250,3570114	260,7455273	293,6618517	320,7374603	331,1629242	354,6713801	404,373965	464,5614221	474,7054087	488,4214018	551,7500966	565,800697	380,2981676	424,4487513	377,4230017	402,1912906	450,900245	475,953	467,9074406	
Canada	CAN	GDP per capita (current US$)	NY.GDP.PCAP.CD	21448,36196	21768,34329	20879,84833	20121,16125	19935,38146	20613,78788	21227,34753	21829,23344	20952,06946	22238,66454	24190,24962	23738,18072	24169,28473	28200,65808	32034,30774	36266,18712	40385,86996	44543,04104	46594,45095	40773,06153	47448,01322	52087,44638	52678,39012	52652,59368	50893,44671	43585,51198	42322,48478	45148,55271	46313,1	46194,72523	
Switzerland	CHE	GDP per capita (current US$)	NY.GDP.PCAP.CD	38428,3855	38399,21061	39534,542	38100,73673	41843,75688	48662,43977	46676,85094	40417,96228	41497,20261	40581,30705	37868,32306	38538,99005	41376,39399	48087,58314	53340,14766	54952,67372	57579,50195	63555,2375	72487,84593	69927,46877	74605,72102	88415,62806	83538,23008	85112,4644	86605,56338	82081,59712	80172,23207	80449,99456	82818,1	81993,72715	
Chile	CHL	GDP per capita (current US$)	NY.GDP.PCAP.CD	2494,525669	2803,56209	3350,213845	3535,1736	4024,216932	5107,276802	5349,804127	5745,373795	5446,580613	4957,777884	5074,901624	4574,594421	4446,250505	4772,56282	6194,853107	7598,525121	9464,550243	10502,35452	10751,47967	10208,90676	12808,03459	14637,24024	15351,55133	15842,94081	14670,99676	13574,17183	13753,59444	14999,37009	15924,7	14896,45387	
